Current,United States,AMTK
,,BNSF
,,CN (GTC)
,,CPKC 
,,KCS
,,SOO
,,CSX
,,NS
,,UP
,Canada,CN
,,CPKC 
,,CP
,,VIA
,Mexico,CPKC 
,,KCSM
,,FXE
Former,1956–present,AA
,,ACL
,,AC&Y
,,AGS
,,ASAB
,,AT&N
,,AT&SF
,,AUT
,,A&WP
,,B&AR
,,B&M
,,BN
,,B&O
,,CAR&NW
,,CB&Q
,,C&EI
,,CG
,,CGW
,,C&IM
,,CNJ
,,CNO&TP
,,C&NW
,,C&O
,,CPME
,,CR
,,CRR
,,C&S
,,CS
,,CSPM&O
,,CV
,,C&W
,,C&WC
,,DH
,,DL&W
,,DM&IR
,,D&RGW
,,DSS&A
,,DT&I
,,D&TSL
,,DW&P
,,EJ&E
,,EL
,,ERIE
,,FEC
,,FW&D
,,GA
,,GB&W
,,G&F
,,GM&O
,,GN
,,GS&F
,,GTW
,,IC
,,ICG
,,ITC
,,KO&G
,,L&A
,,L&HR
,,LI
,,L&M
,,L&N
,,L&NE
,,LS&I
,,LV
,,MEC
,,MGA
,,MI
,,MILW/CMStP&P
,,MIS
,,MKT
,,MN&S
,,MON
,,MP
,,M&STL
,,NC&STL
,,NH
,,NKP/ NYC&StL
,,NYS&W
,,NO&NE
,,NP
,,NS
,,N&W
,,NWP
,,NYC
,,NYCN
,,NYO&W
,,PC
,,P&LE
,,P&N
,,PRR
,,PRSL
,,P&WV
,,RDG
,,RF&P
,,RUT
,,QA&P
,,RI/CRIP
,,S&A
,,SAL
,,SBD
,,SCL
,,SD&AE
,,SI
,,SIRT
,,SLSF
,,SLSFTX
,,SN
,,SOO/MStP&SSM
,,SOU
,,SP
,,SP&S
,,SSW
,,TC
,,TFM
,,TM
,,T&NO
,,T&P
,,TP&W
,,VGN
,,WA
,,WAB
,,WC
,,WM
,,WP
,pre-1956,A
,,AB&A
,,AB&C
,,AC
,,A&D
,,A&STL
,,BA&P
,,BC&A
,,B&G
,,BRI
,,BR&P
,,B&S
,,BSL&W
,,C&A
,,CA&C
,,C&C
,,CCC&STL
,,C&E
,,C&G
,,CH&D
,,C&I
,,CINN
,,CI&S
,,CI&W
,,CL&N
,,CM
,,CM&PS
,,CNE
,,CNNE
,,CNOR
,,CP&STL
,,CPVT
,,CRI&G
,,CR&NW
,,CRP
,,CVRR
,,DGH&M
,,D&IR
,,D&M
,,DM&N
,,DNW&P
,,D&SL
,,EP&SW
,,E&TH
,,F&CC
,,FJ&G
,,FS&W
,,FW&RG
,,GC&SF
,,GH&SA
,,GM&N
,,GR&I
,,G&SI
,,HE&WT
,,H&TC
,,HV
,,ICRY
,,IGN
,,KCM&O
,,KCM&OTX
,,LA&SL
,,LE&W
,,LS&MS
,,MC
,,MD&V
,,M&I
,,M&NA
,,M&O
,,MSC
,,MTR
,,MV
,,NCRY
,,NJ&NY
,,NN
,,NOT&M
,,NYP&N
,,OCAA
,,OE
,,OR&L
,,OSL
,,OWRN
,,PB&W
,,PCC&STL
,,PCO
,,PE
,,P&E
,,PM
,,PRDG
,,P&S
,,P&SF
,,PS&N
,,SA&AP
,,SB&NY
,,SD&A
,,SFP&P
,,S&IE
,,SJ&GI
,,SLB&M
,,SLIM&S
,,SOUMS
,,SSWTX
,,T&BV
,,T&FS
,,T&N
,,T&OC
,,TSTL&W
,,U&D
,,UTAH
,,VAND
,,VS&P
,,WJ&S
,,W&LE
,,WPT
,,WSN
,,WV
,,Y&MV
