Region,State,System,Authority,Type (FTA)
Albuquerque,New Mexico,New Mexico Rail Runner Express,Mid-Region Council of Governments,Commuter rail
Atlanta,Georgia,MARTA rail,Metropolitan Atlanta Rapid Transit Authority,Heavy rail[1]
Atlanta Streetcar,Streetcar,,,
Austin,Texas,Capital MetroRail,Capital Metropolitan Transportation Authority,Commuter rail[1]
Baltimore,Maryland,Metro Subway,Maryland Transit Administration,Heavy rail[1]
Light Rail,Light rail[1],,,
Boston (Greater Boston region),Massachusetts and Rhode Island,MBTA Commuter Rail,Massachusetts Bay Transportation Authority,Commuter rail[2]
Boston,Massachusetts,MBTA subway,Heavy rail[2],
Light rail[2],,,,
Heritage light rail,,,,
Buffalo,New York,Metro Rail,Niagara Frontier Transportation Authority,Light rail[1]
Camden and Trenton,New Jersey,River Line,New Jersey Transit,Tram-train
Charlotte,North Carolina,LYNX Rapid Transit Services,Charlotte Area Transit System,Light rail[1]
Streetcar,,,,
Chicago,Illinois and Indiana,South Shore Line,Northern Indiana Commuter Transportation District,Commuter rail[3]
Illinois,Metra,Northeast Illinois Regional Commuter Railroad Corporation,Commuter rail[1],
The L,Chicago Transit Authority,Heavy rail[1],,
Airport Transit System,Chicago Airport Authority,VAL,,
Cincinnati,Ohio,Cincinnati Bell Connector,Southwest Ohio Regional Transit Authority (operation contracted to Transdev),Streetcar
Cleveland,RTA Rapid Transit,Greater Cleveland Regional Transit Authority,Heavy rail[1],
Light rail,,,,
Dallas–Fort Worth,Texas,Trinity Railway Express,Dallas Area Rapid Transit,Commuter rail[1]
Trinity Metro,,,,
DART Light Rail,Dallas Area Rapid Transit,Light rail[1],,
Dallas Streetcar,City of Dallas (operation contracted to DART),Streetcar,,
McKinney Avenue Transit Authority,McKinney Avenue Transit Authority,Heritage streetcar[1],,
Skylink,Dallas/Fort Worth International Airport,People mover,,
A-Train,Denton County Transportation Authority,Commuter rail,,
TEXRail,Trinity Metro,,,
Denver,Colorado,RTD Rail,Regional Transportation District,Commuter Rail[1]
Light rail[1],,,,
Detroit,Michigan,QLine,M-1 Rail,Streetcar
Detroit People Mover,Detroit Transportation Corporation,Automated people mover[1],,
El Paso,Texas,El Paso Streetcar,Sun Metro,Heritage streetcar
Galveston,Texas,Galveston Island Trolley[4],Island Transit[5],Heritage streetcar[4]
Hartford,Connecticut,Hartford Line,Connecticut Department of Transportation,Commuter rail
Honolulu,Hawaii,Skyline,Honolulu Authority for Rapid Transportation[6],Light metro[7][8][9]
Houston,Texas,METRORail,"Metropolitan Transit Authority of Harris County, Texas",Light rail[1]
Irving,Texas,Las Colinas APT System( SYSTEM IS CLOSED INDEFINITELY),Dallas County Utility and Reclamation District,People mover
Jacksonville,Florida,Skyway,Jacksonville Transportation Authority,Automated guideway transit[1]
Jersey City/Hudson County,New Jersey,Hudson–Bergen Light Rail,New Jersey Transit,Light rail[1]
Kansas City,Missouri,KC Streetcar,Kansas City Streetcar Authority/City of Kansas City (operation contracted to Herzog Transit Services),Streetcar
Kenosha,Wisconsin,Kenosha Streetcars,Kenosha Transit,
Las Vegas,Nevada,Las Vegas Monorail,Las Vegas Monorail Company,Monorail
Little Rock,Arkansas,Metro Streetcar,Rock Region Metro,Heritage streetcar[1]
Los Angeles,California,Metro Rail,Los Angeles County Metropolitan Transportation Authority,Heavy rail[1]
Metro Rail,Los Angeles County Metropolitan Transportation Authority,Light rail[1],,
Memphis,Tennessee,MATA Trolley,Memphis Area Transit Authority,Heritage streetcar
Miami,Florida,Tri-Rail,South Florida Regional Transportation Authority,Commuter rail
Metrorail,Miami-Dade Transit,Heavy rail[1],,
Metromover,Automated guideway transit[1],,,
Milwaukee,Wisconsin,The Hop,City of Milwaukee (operation contracted to Transdev),Streetcar
Minneapolis–Saint Paul,Minnesota,Metro,Metro Transit,Light rail[1]
Northstar Line,Commuter rail[1],,,
Morgantown,West Virginia,Morgantown Personal Rapid Transit,West Virginia University,People mover
Nashville,Tennessee,Music City Star,Regional Transportation Authority,Commuter rail[1]
New Haven,Connecticut,Shore Line East,Connecticut Department of Transportation,
New Orleans,Louisiana,New Orleans streetcars,New Orleans Regional Transit Authority,Heritage streetcar[1]
New York,New York,Long Island Rail Road,Metropolitan Transportation Authority,Commuter rail
New York and Connecticut,Metro-North Railroad,,,
New York,New York City Subway,Heavy rail[1],,
Staten Island Railway,Staten Island Rapid Transit Operating Authority,,,
New York and New Jersey,PATH,Port Authority of New York and New Jersey,,
New York,AirTrain JFK,Port Authority of New York and New Jersey,Automated light rail[1],
"New York, New Jersey, and Philadelphia",New Jersey Transit commuter rail,New Jersey Transit,Commuter rail,
Newark,New Jersey,Newark Light Rail,Light rail[1],
AirTrain Newark,Port Authority of New York and New Jersey,Monorail,,
Norfolk,Virginia,Tide Light Rail,Hampton Roads Transit,Light rail
Norristown,Pennsylvania,Norristown High Speed Line,SEPTA,Heavy rail[10]
Oakland,California,Oakland Airport Connector,San Francisco Bay Area Rapid Transit District,Automated guideway transit
Oceanside,California,SPRINTER,North County Transit District,Diesel light rail[11]
Oklahoma City,Oklahoma,Oklahoma City Streetcar,City of Oklahoma City (operation contracted to Herzog Transit Services),Streetcar
Orlando Metro Area,Florida,SunRail,Central Florida,Commuter rail
Philadelphia,Pennsylvania and New Jersey,PATCO Speedline,Port Authority Transit Corporation,Heavy rail
"Pennsylvania, New Jersey, and Delaware",SEPTA Regional Rail,SEPTA,Commuter rail[10],
Pennsylvania,SEPTA Subway-Elevated Lines,Heavy rail[10],,
SEPTA Trolley Lines,Light rail[1][10],,,
Heritage streetcar,,,,
Phoenix metropolitan area,Arizona,Valley Metro Rail,Valley Metro,Light rail
Tempe Streetcar,Streetcar,,,
PHX Sky Train,City of Phoenix,People mover,,
Pittsburgh,Pennsylvania,The T,Port Authority of Allegheny County,Light rail[1]
Portland metro area (west side suburbs),Oregon,WES Commuter Rail,TriMet,Commuter rail
Portland,MAX,Light rail[1],,
Portland Streetcar,"Portland Streetcar, Inc.",Streetcar[1],,
Redlands,California,Arrow,Southern California Regional Rail Authority,Commuter rail
Sacramento,California,Light Rail,Sacramento Regional Transit District,Light rail[1]
St. Louis,Missouri and Illinois,MetroLink,Bi-State Development Agency,
Missouri,Loop Trolley,Heritage streetcar,,
Salt Lake City,Utah,The FrontRunner train,Utah Transit Authority,Commuter rail
Streetcar,Streetcar,,,
TRAX,Light rail,,,
San Diego,California,Coaster,San Diego Northern Railway,Commuter rail
San Diego Trolley,San Diego Metropolitan Transit System,Light rail[1],,
San Diego Trolley,Heritage streetcar,,,
San Francisco Bay Area,Bay Area Rapid Transit,San Francisco Bay Area Rapid Transit District,Heavy rail[1],
Diesel light rail,,,,
San Francisco,Muni Metro,Municipal Transportation Agency,Light rail[12],
Muni Heritage Streetcars,Heritage streetcar[12],,,
Cable car system,Heritage cable car[12],,,
San Francisco[a],AirTrain,San Francisco International Airport,People mover,
San Jose,Altamont Corridor Express,San Joaquin Regional Rail Commission,Commuter rail[1],
Light Rail,Santa Clara Valley Transportation Authority,Light rail[12],,
Caltrain,Peninsula Corridor Joint Powers Board,Commuter rail[12],,
San Juan,Puerto Rico,Tren Urbano,Departamento de Transportación y Obras Públicas,Heavy rail[1]
Seattle/Tacoma,Washington,Sounder,Sound Transit,Commuter rail[1]
Seattle,Link light rail,Sound Transit (operation contracted to King County Metro),Light rail,
Seattle Center Monorail,City of Seattle,Monorail,,
Seattle Streetcar Network,City of Seattle (operation contracted to King County Metro),Streetcar,,
Sonoma / Marin,California,Sonoma–Marin Area Rail Transit,Sonoma–Marin Area Rail Transit District,Commuter rail
Southern California,Metrolink,Southern California Regional Rail Authority,,
Tacoma,Washington,Link light rail,Sound Transit,Light rail[1]
Tampa,Florida,TECO Line Streetcar,Hillsborough Area Regional Transit Authority,Heritage streetcar[1]
Tucson,Arizona,Sun Link,City of Tucson (operation contracted to RATP),Streetcar
"Washington, D.C.","District of Columbia, Maryland, and West Virginia",MARC Train,Maryland Transit Administration,Commuter rail[1]
District of Columbia and Virginia,Virginia Railway Express,Virginia Railway Express,Commuter rail,
"District of Columbia, Maryland, and Virginia",Metrorail,Washington Metropolitan Area Transit Authority,Heavy rail[1],
District of Columbia,DC Streetcar,D.C. Department of Transportation (operation contracted to RATP),Streetcar,
